Problem	Population Size	Generation	Step Size	Elites	Mutations	Crossovers	Best	Worst	Best Fitness	Worst Fitness	Average	Deviation	Crossover Points	Runtime (ms)
Booth	100	52	0.8	50	50	1	f(1.0775248230967414, 2.9276222664344296) = 0.0113546046348373	f(0.42586742476704076, 2.914558785497836) = 2.0770787515014444	98.87728749315013	32.49835577045454	92.87979126001574	14.160026933423008	1	35.1876
Booth	100	53	0.8	50	50	1	f(1.0775248230967414, 2.94399506731681) = 0.010999073414674727	f(0.5251412855322783, 3.852268210876076) = 1.5216036138926763	98.91205900144645	39.657303570257405	93.94557205378398	10.924748135222965	1	35.1876
Booth	100	54	0.8	50	50	1	f(1.0775248230967414, 2.94399506731681) = 0.010999073414674727	f(1.1049449439773245, 2.1818988594486957) = 2.714669960285209	98.91205900144645	26.920291996094882	92.48727335319239	13.810924032232773	1	35.1876
Booth	100	55	0.8	50	50	1	f(1.0611378718771514, 2.94399506731681) = 0.006979780121591235	f(1.1049449439773245, 2.1504087717515907) = 2.9508110510979773	99.30685995296267	25.311258550876236	91.46252575895699	16.138800119552673	1	35.1876
Booth	100	56	0.8	50	50	1	f(1.0611378718771514, 2.94399506731681) = 0.006979780121591235	f(1.1049449439773245, 3.684887452119228) = 2.9754251190312573	99.30685995296267	25.154542471766714	92.27009227212875	16.35405782474847	1	35.1876
Booth	100	57	0.8	50	50	1	f(1.0611378718771514, 2.94399506731681) = 0.006979780121591235	f(1.1049449439773245, 2.3413803182752617) = 1.6710161873002696	99.30685995296267	37.43893446826132	91.71034728968482	15.066691914729844	1	35.1876
Booth	100	58	0.8	50	50	1	f(1.0611378718771514, 2.94399506731681) = 0.006979780121591235	f(0.4875372930042322, 2.914558785497836) = 1.699874624567455	99.30685995296267	37.038756944508464	90.83001993666836	15.663548705470646	1	35.1876
Booth	100	59	0.8	50	50	1	f(1.0611378718771514, 2.94399506731681) = 0.006979780121591235	f(1.1263231999808396, 2.2675256959485526) = 2.0221528008131204	99.30685995296267	33.08899535890266	91.22388454184679	14.006745257676355	1	35.1876
Booth	100	60	0.8	50	50	1	f(1.0611378718771514, 2.94399506731681) = 0.006979780121591235	f(1.662501647985072, 2.914558785497836) = 1.778203610284469	99.30685995296267	35.99448205661236	92.37799026789935	13.1770973241243	1	35.1876
Booth	100	61	0.8	50	50	1	f(1.0611378718771514, 2.94399506731681) = 0.006979780121591235	f(1.5259697778945807, 2.9276222664344296) = 1.1048657142888463	99.30685995296267	47.50896901457972	95.45749279246476	8.427787222446618	1	35.1876
Booth	100	62	0.8	50	50	1	f(1.0392582653974423, 2.94399506731681) = 0.005799567347582831	f(0.5346088785256311, 2.914558785497836) = 1.4375541465122308	99.4233873690285	41.024729704193355	92.63160232988696	13.078043429560761	1	35.1876
Booth	100	63	0.8	50	50	1	f(1.0392582653974423, 2.94399506731681) = 0.005799567347582831	f(1.6463996643836811, 3.2239922709849593) = 3.4983335481954048	99.4233873690285	22.230454662508738	92.47495050745661	14.71298004878105	1	35.1876
Booth	100	64	0.8	50	50	1	f(1.0392582653974423, 2.94399506731681) = 0.005799567347582831	f(1.0775248230967414, 3.6895945663935006) = 2.8354393951231476	99.4233873690285	26.072632024156704	93.77079856880312	14.394942503582985	1	35.1876
Booth	100	65	0.8	50	50	1	f(1.0397122650315163, 2.94399506731681) = 0.005775420555613552	f(1.0611378718771514, 3.72102838728051) = 2.9707560025007593	99.42577433912403	25.184121093570237	92.08658026448323	16.36558263597696	1	35.1876
Booth	100	66	0.8	50	50	1	f(1.0397122650315163, 2.94399506731681) = 0.005775420555613552	f(1.0611378718771514, 3.72102838728051) = 2.9707560025007593	99.42577433912403	25.184121093570237	92.13412259910073	15.96613893627625	1	35.1876
Booth	100	67	0.8	50	50	1	f(1.0397122650315163, 2.9457327447067736) = 0.005369389957067476	f(1.1049449439773245, 2.4847589540798776) = 0.949858341745085	99.46592864168096	51.285776950597324	95.63013421682007	9.819996681273519	1	35.1876
Booth	100	68	0.8	50	50	1	f(1.0397122650315163, 2.9457327447067736) = 0.005369389957067476	f(1.0611378718771514, 2.353197837799233) = 1.7941015202463129	99.46592864168096	35.78968025155526	93.43658546614407	14.002316099728098	1	35.1876
Booth	100	69	0.8	50	50	1	f(1.0397122650315163, 2.9457327447067736) = 0.005369389957067476	f(1.8902002232417687, 2.94399506731681) = 3.5791201211049897	99.46592864168096	21.838256554813626	94.41579910710027	14.040282281507313	1	35.1876
Booth	100	70	0.8	50	50	1	f(1.0397122650315163, 2.9457327447067736) = 0.005369389957067476	f(0.549905053257997, 4.217015289198366) = 4.036378921918803	99.46592864168096	19.855535405564986	94.60575465908205	14.935241637899612	1	35.1876
Booth	100	71	0.8	50	50	1	f(1.0397122650315163, 2.9457327447067736) = 0.005369389957067476	f(0.9191870031098988, 2.125488922013391) = 4.421876718143831	99.46592864168096	18.443798189906982	92.95986372455596	17.054816333636182	1	35.1876
Booth	100	72	0.8	50	50	1	f(1.0397122650315163, 2.9457327447067736) = 0.005369389957067476	f(0.4827509651774802, 2.94399506731681) = 1.5851635615538262	99.46592864168096	38.68227197968645	92.98768211863819	15.534680884318078	1	35.1876
Booth	100	73	0.8	50	50	1	f(1.0397122650315163, 2.9457327447067736) = 0.005369389957067476	f(1.0141454799875433, 2.2655809583619586) = 2.6147474377753936	99.46592864168096	27.66445006778745	95.14016553221592	11.48346481475776	1	35.1876
Booth	100	74	0.8	50	50	1	f(1.0397122650315163, 2.9457327447067736) = 0.005369389957067476	f(0.6569824616834501, 2.5456675026919484) = 2.8671473669451304	99.46592864168096	25.858854217649178	91.81922145574656	19.107731686326254	1	35.1876
Booth	100	75	0.8	50	50	1	f(1.0397122650315163, 2.9457327447067736) = 0.005369389957067476	f(0.5100642541776559, 2.94399506731681) = 1.4353784853076772	99.46592864168096	41.06137941321525	93.09996539581263	14.203141952165739	1	35.1876
