Problem	Population Size	Generation	Step Size	Elites	Mutations	Crossovers	Best	Worst	Best Fitness	Worst Fitness	Average	Deviation	Crossover Points	Runtime (ms)
Levi	100	28	0.8	50	50	1	f(-3.669759348389304, -3.3278353064932458) = 0.31672117088581275	f(-3.669759348389304, -3.44382629168575) = 24.700404390275814	75.94622324840867	3.890989358822568	71.26674319940567	11.148627823180796	1	40.8533
Levi	100	29	0.8	50	50	1	f(-3.669759348389304, -3.3278353064932458) = 0.31672117088581275	f(-5, -3.5707757328419176) = 64.95406885821168	75.94622324840867	1.516206683396295	68.71864577956427	17.298136729015503	1	40.8533
Levi	100	30	0.8	50	50	1	f(-3.333541806325325, -3.3278353064932458) = 0.3077550519912819	f(-3.669759348389304, -2.770661443127221) = 71.43803570114201	76.46691928104794	1.3804902221889412	66.15967058128237	22.129003164263082	1	40.8533
Levi	100	31	0.8	50	50	1	f(-3.333541806325325, -3.3278353064932458) = 0.3077550519912819	f(-4.2442309709401185, -2.8120949059311817) = 80.81097353270573	76.46691928104794	1.2223299110359909	65.26988647724515	22.641557025132865	1	40.8533
Levi	100	32	0.8	50	50	1	f(-3.002366801731253, -3.3278353064932458) = 0.30084279459289015	f(-3.792794792390506, -3.559827610898727) = 56.13093750731338	76.87323973016728	1.750365114999188	63.818728337954674	22.316995096853972	1	40.8533
Levi	100	33	0.8	50	50	1	f(-3.002366801731253, -3.3278353064932458) = 0.30084279459289015	f(-3.669759348389304, -2.943654177168086) = 33.798871544177125	76.87323973016728	2.8736564021350555	69.50898308171392	14.498778311207928	1	40.8533
Levi	100	34	0.8	50	50	1	f(-3.0005904565654657, -3.3278353064932458) = 0.3003381247347193	f(-4.180015826969723, -3.9160434997636) = 69.18081164974716	76.90307474480984	1.4248909017905362	65.18456687932786	18.86693996388568	1	40.8533
Levi	100	35	0.8	50	50	1	f(-3.0005904565654657, -3.3278353064932458) = 0.3003381247347193	f(-4.033592918266568, -2.528079919265511) = 40.9007367947662	76.90307474480984	2.386592877586127	66.05128465928327	15.848785638312327	1	40.8533
Levi	100	36	0.8	50	50	1	f(-3.0005904565654657, -3.3278353064932458) = 0.3003381247347193	f(-3.669759348389304, -2.5744694605880554) = 39.61845591632038	76.90307474480984	2.46193504268143	68.60431686162097	14.383587412637283	1	40.8533
Levi	100	37	0.8	50	50	1	f(-1.9970135203513257, -3.3278353064932458) = 0.2822597875593371	f(-3.669759348389304, -2.8883845080480706) = 57.369751254352906	77.98731658764777	1.7132161410837352	71.98235065968464	9.909001304795726	1	40.8533
Levi	100	38	0.8	50	50	1	f(-1.9970135203513257, -3.3278353064932458) = 0.2822597875593371	f(-4.722917114722548, -2.797632392752326) = 84.58953827783824	77.98731658764777	1.1683670926624576	71.60812789993592	12.008660115467631	1	40.8533
Levi	100	39	0.8	50	50	1	f(-1.9970135203513257, -3.3278353064932458) = 0.2822597875593371	f(-3.329988963036591, -2.985414564182832) = 19.27676197977107	77.98731658764777	4.931753901326262	72.92271006927952	9.208181328934593	1	40.8533
Levi	100	40	0.8	50	50	1	f(-1.9970135203513257, -3.3278353064932458) = 0.2822597875593371	f(-3.6648049518785064, -3.9424328381300997) = 50.576475787618755	77.98731658764777	1.938868417682885	69.91988673089963	14.884631635475298	1	40.8533
Levi	100	41	0.8	50	50	1	f(-1.9970135203513257, -3.3278353064932458) = 0.2822597875593371	f(-3.669759348389304, -4.117524217436255) = 20.252960611408486	77.98731658764777	4.705226807145189	70.98877222120028	12.629549142619288	1	40.8533
