Problem	Population Size	Generation	Step Size	Elites	Mutations	Crossovers	Best	Worst	Best Fitness	Worst Fitness	Average	Deviation	Crossover Points	Runtime (ms)
Rastrigin	100	21	0.8	50	50	1	f(-3.0731739267933986, -2.942609534390277) = 19.784911572055794	f(-3.35094767515964, -3.98876754492971) = 43.089931385133944	4.811182364347639	2.2680915315218106	3.6170084136512504	0	1	49.36
Rastrigin	100	22	0.8	50	50	1	f(-3.0709168887241987, -3.0012472381297712) = 19.41473114166675	f(-2.737066855000215, -4.31201681698817) = 50.69551183411584	4.898423560225028	1.9344039057179077	3.6625149998996425	0	1	49.36
Rastrigin	100	23	0.8	50	50	1	f(-3.001314935354575, -2.942609534390277) = 18.310312718384736	f(-2.595680968811631, -3.9774782461917457) = 40.90452950574772	5.178580039503616	2.3863768709366795	3.9162038584726258	0	1	49.36
Rastrigin	100	24	0.8	50	50	1	f(-2.1489721834944806, -3.0012472381297712) = 17.695897893909553	f(-3.6221408923551377, -3.98876754492971) = 46.25201225230159	5.348766909589102	2.1163119882821313	4.078591545605433	0	1	49.36
Rastrigin	100	25	0.8	50	50	1	f(-2.1489721834944806, -3.0012472381297712) = 17.695897893909553	f(-2.5139455685685936, -3.9774782461917457) = 42.201847586675456	5.348766909589102	2.3147158185624113	4.171325466237715	0	1	49.36
Rastrigin	100	26	0.8	50	50	1	f(-2.1489721834944806, -3.0012472381297712) = 17.695897893909553	f(-3.7468794029724046, -3.806078990571052) = 45.270315014250414	5.348766909589102	2.1612128633488195	4.285338142502336	0	1	49.36
Rastrigin	100	27	0.8	50	50	1	f(-2.974593498636068, -2.044084543042468) = 13.534806997304166	f(-3.3652019594186244, -3.9774782461917457) = 43.86750537940702	6.8800363168597585	2.2287844878912595	4.268784508483439	0	1	49.36
Rastrigin	100	28	0.8	50	50	1	f(-2.974593498636068, -2.044084543042468) = 13.534806997304166	f(-2.3688959332474617, -3.9774782461917457) = 38.32669503733342	6.8800363168597585	2.5428020306580175	4.646795685661668	0	1	49.36
Rastrigin	100	29	0.8	50	50	1	f(-2.9923046767155923, -2.016264772580171) = 13.083071029452167	f(-3.0020616983266044, -2.487430478956236) = 35.1693535175259	7.1007239678666885	2.7647715614144137	5.063823015768854	0	1	49.36
Rastrigin	100	30	0.8	50	50	1	f(-1.9832885391691748, -2.964365562874623) = 13.025577965502228	f(-2.4693414518659687, -2.942609534390277) = 35.214762296525976	7.129830959263375	2.761304883936594	5.129897725005212	0	1	49.36
Rastrigin	100	31	0.8	50	50	1	f(-1.9832885391691748, -2.964365562874623) = 13.025577965502228	f(-3.492931053878362, -2.044084543042468) = 36.75016146614705	7.129830959263375	2.648995292104282	5.375042571521728	0.3575511500975765	1	49.36
Rastrigin	100	32	0.8	50	50	1	f(-1.9980033559186186, -2.044084543042468) = 8.552260500852533	f(-2.6845488399927246, -1.6154787127461259) = 41.295238238016005	10.468726223606973	2.364332349595741	5.623653515080244	1.3102103398716114	1	49.36
Rastrigin	100	33	0.8	50	50	1	f(-1.9832885391691748, -2.044084543042468) = 8.547965245272707	f(-2.9923046767155923, -3.481473115834184) = 41.018551764111095	10.473435693485689	2.3799011579787965	6.151673036140936	1.130650483199772	1	49.36
Rastrigin	100	34	0.8	50	50	1	f(-1.9832885391691748, -2.044084543042468) = 8.547965245272707	f(-3.691286713400844, -2.964365562874623) = 36.26862328506143	10.473435693485689	2.6832222707857176	6.495533447836506	1.2069794463510821	1	49.36
Rastrigin	100	35	0.8	50	50	1	f(-1.9832885391691748, -1.9456873322077701) = 8.350859499223647	f(-3.2680159198726626, -1.8586931688246204) = 28.95346767052396	10.69420410052172	3.338511624095066	6.933339951976166	1.190742114743995	1	49.36
